PARCELA;IDADE;DAP;ALTURA;N;HDOM;G;VOLTOT
232;13.1;24.9;21.1;1099.6;25.8;55.9;563.1
233;13.1;23.4;20.1;1239.6;22.2;54.7;517.1
234;13.1;22.5;19.2;1159.6;21.1;48.7;448.3
235;13.1;23.5;20.1;1219.6;23.3;55.2;527.7
236;13.1;23.4;19.8;1239.6;22.7;55.1;515.7
237;13.1;22.2;19.1;1319.7;21.0;53.6;487.3
238;13.1;25.0;21.0;1099.6;24.4;55.5;549.3
239;13.1;23.9;20.3;1219.6;23.7;56.8;551.1
240;13.1;23.5;20.0;1319.6;23.9;59.6;568.4
241;13.1;24.3;20.5;1159.6;24.1;56.1;549.2
242;13.1;23.1;19.8;1199.6;21.7;52.6;496.4
243;13.0;21.6;19.2;1539.5;22.2;59.3;546.8
244;13.0;23.8;19.9;1239.9;21.9;57.4;540.8
245;13.0;22.3;19.3;1279.6;22.1;52.3;484.2
246;13.1;22.6;19.6;1162.1;20.9;48.1;443.0
247;13.1;20.5;18.5;1279.6;19.8;44.4;393.3
248;13.1;21.4;19.1;1359.1;20.6;51.1;465.2
249;13.1;20.9;18.8;1280.3;20.1;45.8;406.2
250;13.1;21.5;18.9;1179.6;19.7;44.1;391.5
251;13.1;20.6;18.9;1259.6;20.0;44.0;393.7
252;13.1;23.1;19.8;1219.6;22.4;52.8;495.7
253;13.1;23.7;20.0;1162.1;22.9;53.6;509.7
254;13.5;21.3;19.2;1181.8;20.4;43.6;405.6
255;13.5;19.5;18.6;1219.6;17.8;38.2;341.7
256;13.5;20.2;19.3;1139.6;19.5;37.7;349.2
257;13.5;19.9;18.8;1199.6;18.1;38.7;351.7
258;13.1;22.0;19.4;1319.6;22.1;52.6;490.6
259;13.1;20.9;18.6;1299.6;20.7;46.8;415.8
260;13.1;20.5;18.9;1399.5;21.1;47.9;428.9
261;13.1;21.4;18.8;1259.6;21.5;48.4;440.9
262;13.1;24.8;20.7;1159.6;24.3;58.0;567.7
263;13.1;22.7;19.9;1319.6;22.3;55.0;516.9
264;13.1;21.8;19.4;1239.6;20.5;47.7;434.8
265;13.1;21.9;19.2;1259.6;22.1;49.1;447.1
266;13.1;23.5;20.0;1179.6;22.5;53.1;502.9
267;13.1;21.8;19.0;1260.6;20.1;48.8;435.8
268;13.1;21.3;18.7;1122.7;19.7;41.8;370.1
269;13.1;22.0;19.2;1159.6;19.9;45.5;411.9
270;13.4;22.1;18.9;979.7;20.0;38.9;343.4
271;13.4;22.5;19.3;1059.6;21.5;43.4;391.7
272;13.4;22.6;19.6;1122.7;22.3;47.8;446.1
273;13.4;23.2;19.7;959.7;22.5;42.4;394.8
274;13.4;22.5;19.4;999.7;20.4;41.2;375.0
275;13.0;21.4;19.1;1259.6;20.8;47.2;426.0
276;13.0;21.8;19.0;1179.6;18.8;45.8;408.8
277;13.0;20.9;18.7;1239.6;19.8;44.2;391.5
278;13.0;22.2;18.9;1159.6;20.2;46.8;416.4
279;13.0;21.1;18.5;1179.6;19.7;43.8;390.2
280;13.0;19.7;17.9;1259.6;17.3;40.7;346.6
281;13.0;20.8;18.3;1221.2;17.5;43.1;373.4
282;13.0;22.6;18.4;1019.7;19.6;43.0;375.4
283;13.0;19.9;18.3;1240.9;18.9;40.8;355.0
284;13.0;20.5;18.5;1239.6;19.0;42.4;369.5
285;13.0;22.7;19.6;1339.5;21.9;55.9;516.5
286;13.0;20.5;18.8;1239.6;20.4;42.7;379.2
287;13.0;20.1;18.4;1299.6;19.4;43.3;377.0
288;13.0;20.7;18.9;1299.6;21.8;46.1;417.3
289;13.4;22.2;19.6;984.8;22.2;39.9;377.2
290;13.4;21.6;19.8;1159.6;22.1;44.4;428.4
291;13.4;25.3;19.3;659.8;22.6;35.5;339.9
292;13.4;22.4;19.6;979.7;23.0;41.2;395.4
293;13.4;21.2;18.5;1099.6;18.6;41.3;368.5
294;13.4;20.5;19.0;1139.6;19.7;39.5;363.9
295;13.4;20.8;19.0;1239.6;20.5;44.4;412.3
296;13.4;22.4;19.2;959.7;20.7;39.7;367.1
297;13.4;23.6;19.1;899.7;21.9;42.0;394.3
298;13.4;23.9;20.3;919.7;21.4;42.3;415.3
299;13.3;18.7;17.7;1159.6;19.1;33.5;280.1
300;13.3;22.2;17.9;999.7;18.9;40.6;337.4
301;13.3;18.9;17.6;1159.2;18.9;34.3;286.9
302;13.3;21.3;18.3;906.0;19.7;33.9;290.5
303;13.3;21.9;18.1;1059.6;20.4;42.5;366.1
304;12.9;21.6;18.9;1239.6;21.5;48.7;440.8
305;12.9;21.0;18.7;1299.6;20.6;46.8;412.7
306;12.9;23.4;19.5;1179.6;22.7;53.4;497.6
307;12.9;22.1;19.0;1179.6;21.0;47.2;423.4
308;12.9;22.3;19.1;1419.5;22.3;57.8;525.7
309;12.9;21.8;18.8;1239.6;21.2;48.4;431.9
310;12.9;22.9;19.2;1119.6;22.4;48.1;438.7
311;12.9;21.6;18.7;1299.6;22.4;51.3;464.5
312;12.8;19.4;17.7;1359.5;18.7;42.7;360.1
313;12.8;21.3;18.4;1259.6;20.8;47.9;424.4
314;12.8;21.1;18.5;1179.6;20.3;42.8;373.8
315;12.8;20.6;18.2;1419.5;20.4;49.4;424.1
316;12.8;21.5;18.7;1279.6;21.5;48.8;435.0
317;12.8;23.0;19.3;1119.6;21.5;49.0;446.6
318;13.3;23.1;21.6;1119.6;22.5;48.3;489.5
319;12.6;18.9;17.1;1159.6;19.4;34.2;279.3
320;12.6;17.9;16.6;1279.6;19.4;34.3;270.5
321;12.6;18.5;17.5;1399.5;18.7;39.0;322.4
322;12.6;19.8;16.9;1099.6;19.1;35.3;281.0
323;12.7;20.8;16.6;1039.6;20.2;36.8;294.5
324;12.7;23.1;17.3;1039.6;20.0;46.4;388.7
325;12.7;22.8;17.1;979.7;15.5;42.5;348.0
326;12.7;22.1;18.2;759.7;20.2;30.7;268.1
327;12.7;22.8;18.5;779.7;20.2;33.3;293.4
328;12.7;27.1;18.3;689.4;21.5;41.5;359.6
329;12.7;25.0;19.0;799.7;22.8;40.4;361.1
330;12.7;24.0;19.1;839.7;21.6;38.8;349.4
331;12.7;23.8;17.9;787.9;22.1;36.6;319.3
332;12.7;20.8;18.2;1019.7;20.6;36.2;312.6
333;12.7;22.0;17.5;1043.9;21.0;41.2;342.9
334;12.7;24.4;17.6;728.8;21.2;35.1;291.3
335;12.7;23.4;17.5;859.7;21.1;38.5;318.9
336;12.7;23.6;18.7;886.4;21.1;39.8;351.8
337;12.7;20.7;16.1;1099.6;18.7;38.7;294.3
338;12.7;20.7;14.8;999.7;18.4;35.2;249.9
339;12.7;20.8;16.4;1119.6;19.9;39.9;314.0
340;12.7;20.2;17.2;1079.6;19.7;36.0;289.6
341;12.7;22.9;16.4;879.7;19.1;37.8;293.9
342;12.7;20.0;15.3;1099.6;19.0;36.1;262.0
343;12.7;20.6;15.2;1019.7;19.4;35.7;260.1
344;12.7;20.1;15.1;1199.6;19.4;40.2;286.5
345;12.7;21.1;14.9;999.7;18.5;36.1;260.7
346;12.6;18.4;17.5;1201.5;17.5;33.4;276.5
347;12.6;18.3;17.5;1339.4;18.5;37.0;306.7
348;12.6;19.3;17.6;1319.6;18.6;40.7;339.1
349;12.6;18.4;17.6;1457.6;19.5;40.8;342.3
350;12.6;20.3;17.3;1339.5;19.8;45.5;375.8
351;12.6;18.7;17.6;1280.3;17.9;36.7;304.0
352;12.6;20.7;17.3;1259.6;20.1;44.4;368.2
353;12.4;18.8;16.3;1119.6;19.1;32.6;251.1
354;12.4;18.8;16.6;959.7;18.8;28.3;223.1
355;12.4;18.5;16.0;1219.6;18.9;34.7;263.0
356;12.4;18.9;17.4;1179.6;19.8;35.2;293.2
357;12.4;19.2;17.5;1260.6;19.2;38.1;315.8
358;12.4;16.9;17.3;1359.1;18.4;32.1;263.2
359;12.4;18.8;17.8;1299.6;18.9;37.5;313.5
360;12.4;19.3;17.1;1300.0;17.6;40.0;324.2
361;12.4;18.9;16.6;1159.6;19.3;34.3;268.3
362;12.4;17.9;17.6;1339.5;18.8;35.1;291.5
363;12.4;17.0;17.3;1083.3;19.4;25.8;212.8
364;12.4;17.6;17.3;1119.6;17.7;28.4;231.9
365;12.4;19.9;17.4;879.7;19.2;28.7;237.8
366;12.4;20.3;17.3;1019.7;20.5;34.7;283.8
367;12.4;19.9;17.4;1079.6;19.7;35.7;298.2
368;12.4;19.5;17.2;999.7;19.6;32.0;259.5
369;12.4;18.8;17.4;999.7;18.8;29.4;244.2
370;10.9;19.2;17.2;1459.5;19.2;44.7;361.6
371;10.9;15.9;17.2;1439.5;22.6;30.3;249.2
372;10.9;21.8;17.0;979.7;21.2;38.2;304.1
373;10.9;19.7;15.6;1379.5;20.2;44.0;325.0
374;14.4;22.0;21.9;1159.6;22.5;45.4;478.9
375;14.4;23.4;21.8;1019.7;22.2;45.3;474.6
376;14.4;22.3;21.8;1119.6;21.8;44.9;470.3
377;14.4;22.5;21.9;1260.6;23.2;52.3;554.1
378;14.4;23.4;22.5;1099.6;25.4;48.8;530.0
379;11.1;20.4;17.4;1279.6;19.9;44.3;362.2
380;11.3;21.9;17.7;1099.6;19.3;43.5;360.5
381;11.3;20.7;16.6;1079.6;19.2;38.4;294.2
382;11.2;19.6;16.5;999.7;17.6;32.1;245.8
383;11.2;20.3;15.9;1004.5;19.3;34.2;257.5
384;11.3;21.8;17.4;1079.6;21.7;42.2;347.2
385;11.3;22.6;17.1;1199.6;21.0;50.3;408.9
386;11.3;23.1;16.1;1179.6;20.8;52.6;399.5
387;11.3;22.1;17.8;1019.7;22.1;41.1;348.3
388;10.9;19.6;17.1;1079.6;19.1;35.1;289.1
389;10.9;19.5;17.5;1221.2;19.6;38.4;318.5
390;10.9;18.2;16.9;1201.5;19.4;33.6;274.1
391;11.4;20.9;18.0;1063.6;18.2;38.2;319.1
392;11.4;21.1;18.6;1339.5;21.7;48.8;424.2
393;11.4;21.6;18.8;1399.5;22.8;52.6;459.0
394;11.4;21.7;17.8;1199.6;20.5;45.8;374.3
395;11.4;21.7;17.9;1079.6;20.2;41.8;345.8
396;11.5;21.3;18.0;1259.6;19.6;47.0;396.1
397;11.4;21.1;16.4;1119.6;19.0;40.3;304.4
398;11.4;22.1;16.9;979.7;19.9;38.9;313.2
399;11.2;19.6;15.7;965.1;15.7;30.0;217.1
400;11.4;20.7;16.6;1079.6;19.2;37.7;294.8
401;11.4;21.0;16.8;1139.6;20.5;40.6;319.9
402;11.4;20.7;17.4;1199.6;18.5;41.7;335.3
403;11.4;17.9;16.3;1299.6;18.3;34.2;255.2
404;11.4;20.1;15.4;1221.2;18.2;40.6;294.9
405;11.2;18.2;17.1;1477.3;18.1;39.9;318.4
406;11.2;19.4;17.5;1319.6;20.0;41.1;333.5
407;11.4;20.6;18.6;1519.5;21.3;52.4;454.5
408;11.1;20.7;15.7;559.8;15.7;20.4;148.8
409;11.2;23.9;15.4;827.3;19.7;39.6;280.0
410;11.1;20.2;17.4;1159.2;19.1;38.8;314.1
411;11.1;20.8;17.7;899.7;21.5;32.9;277.8
412;11.3;20.6;18.1;1221.2;21.1;42.5;357.6
413;11.1;21.5;17.0;1179.6;18.8;44.1;348.0
414;11.1;22.2;16.0;1139.6;20.4;46.5;355.5
415;11.1;19.1;15.3;1299.6;19.7;39.4;289.6
416;11.2;20.5;17.0;1259.6;18.7;43.5;349.5
417;11.1;20.7;16.7;1319.6;19.2;45.8;357.6
418;11.2;18.7;15.6;768.2;17.5;22.1;159.5
419;11.0;20.4;13.0;859.7;16.7;30.5;195.0
420;11.3;21.3;18.5;1359.5;19.9;50.2;431.7
421;11.3;21.4;18.3;1259.6;19.3;47.2;403.9
422;11.3;20.4;17.7;1439.5;22.4;49.5;415.6
423;11.3;21.1;18.7;1359.5;20.3;49.5;427.6
424;11.3;21.3;17.4;1359.5;19.8;50.9;411.4
425;11.3;20.4;18.3;1279.6;18.9;43.3;366.7
426;11.3;21.1;18.5;1299.6;19.3;47.1;404.4
427;11.3;20.6;18.5;1319.6;19.9;45.8;392.3
428;11.3;21.0;18.4;1239.6;20.0;44.3;380.1
429;11.3;19.8;17.8;1378.8;19.1;44.3;370.8
430;11.4;21.6;16.5;1219.6;19.9;46.5;348.0
431;11.4;19.0;15.2;1439.5;18.5;42.9;293.8
432;11.4;20.0;16.0;1039.6;19.3;34.3;257.7
433;11.4;22.2;14.2;1039.6;18.5;41.8;281.2
434;11.4;22.6;15.9;1079.6;18.7;44.6;332.0
435;10.9;16.7;16.4;1299.6;19.0;30.9;246.4
436;10.9;20.2;16.4;1199.6;18.5;40.9;314.8
437;10.9;16.8;16.9;1419.5;19.8;33.3;267.7
438;10.9;19.5;15.9;1299.6;18.9;40.9;306.5
439;10.9;16.4;16.7;1459.5;18.1;32.8;260.6
440;10.9;21.5;18.4;1159.6;19.5;45.1;390.8
441;10.9;21.3;18.6;1159.6;20.8;42.9;374.7
442;10.9;19.6;17.9;1239.6;19.4;39.6;330.6
443;10.9;20.0;17.9;1259.6;20.8;41.1;344.1
444;10.9;21.6;18.6;1199.6;20.2;46.0;399.9
445;10.9;19.9;17.8;1240.9;20.3;41.5;347.7
446;10.9;19.7;17.4;1299.6;21.0;42.3;350.3
447;10.9;19.7;17.8;1217.1;19.9;38.9;324.3
448;10.9;20.6;18.5;1004.5;21.3;35.1;305.4
449;10.9;21.2;14.1;1079.6;17.8;40.3;275.3
450;10.8;21.2;17.9;1319.6;18.6;48.6;405.3
451;10.8;21.2;18.3;1499.5;19.5;54.3;458.9
452;10.8;18.0;17.2;1659.4;18.1;44.8;361.8
453;10.8;19.8;17.9;1559.5;19.2;49.4;410.7
